--- NEW SESSION ---
232837,-0.01,-0.00,0.99,0.85,0.37,-0.67
232847,-0.02,-0.01,1.00,-0.24,0.00,-0.79
232857,-0.03,-0.00,1.00,-0.06,-0.55,-0.43
232867,-0.03,0.02,1.01,-0.43,-0.31,0.12
232877,-0.03,0.00,1.01,-0.31,-0.06,-0.12
232887,-0.02,0.00,1.01,0.06,-0.06,-0.79
232897,-0.02,0.00,1.00,-0.31,0.00,-0.67
232907,-0.01,-0.01,1.01,0.43,0.73,-0.79
232917,-0.03,0.01,1.01,0.18,0.55,-0.61
232927,-0.03,0.01,1.01,0.12,-0.98,-0.37
232937,-0.03,-0.01,1.00,0.12,0.24,-0.24
232947,-0.01,-0.00,0.99,-0.24,0.06,-0.61
232957,-0.03,-0.00,1.02,-0.49,0.31,-0.55
232967,-0.02,0.01,1.01,0.00,0.49,-0.79
232977,-0.03,-0.01,1.01,0.18,-0.67,-0.61
232987,-0.03,-0.00,1.01,0.06,-0.18,-0.73
232997,-0.02,0.00,1.00,-0.49,-0.43,-0.43
233007,-0.03,-0.00,0.99,-0.43,0.49,-0.98
233017,-0.04,-0.00,0.99,-0.12,-0.79,-0.73
233027,-0.01,-0.00,1.00,-0.61,0.24,-0.37
233037,-0.02,0.01,1.00,-0.06,-0.12,-0.49
233047,-0.02,0.01,1.00,-0.73,0.49,-0.67
233057,-0.01,0.01,1.01,-0.24,-0.06,-0.49
233067,-0.03,0.01,1.02,-0.12,0.31,-0.12
233077,-0.02,-0.00,1.00,-0.18,-1.46,-0.37
233087,-0.02,0.01,1.00,-0.06,0.49,-0.85
233097,-0.01,0.01,1.00,-0.12,-1.10,-0.67
233107,-0.02,-0.01,1.01,-0.06,-0.43,-0.61
233117,-0.03,0.01,1.01,-0.31,-0.06,-0.55
233127,-0.01,-0.00,1.01,-0.24,0.06,-0.98
233137,-0.02,0.01,0.99,-0.24,-0.12,-0.55
233147,-0.03,0.01,1.00,-0.61,0.37,-0.85
233157,-0.03,0.01,1.01,0.12,-0.06,-0.73
233167,-0.03,-0.00,1.01,-0.24,0.24,-0.18
233177,-0.03,0.00,1.01,-0.37,-0.12,-0.55
233187,-0.02,-0.00,1.00,0.12,-0.06,-0.31
233197,-0.02,0.01,1.01,0.37,0.43,-0.37
233207,-0.02,0.01,1.00,-0.18,-0.79,-0.31
233217,-0.02,0.00,0.99,-0.55,0.37,-0.55
233227,-0.02,0.01,0.98,-0.55,-0.06,-0.67
233237,-0.02,0.01,1.00,0.18,-0.49,-0.98
233247,-0.03,0.00,1.00,-0.31,0.18,-1.10
233257,-0.03,0.00,1.01,-0.79,0.37,-0.49
233267,-0.04,0.01,1.01,-0.06,-0.18,-0.61
233277,-0.03,0.01,0.99,0.00,-0.18,-0.18
233287,-0.02,-0.01,1.01,0.24,-1.10,-0.85
233297,-0.02,0.01,0.99,0.61,-0.37,-0.37
233307,-0.03,-0.01,1.01,1.22,-1.89,-0.06
233317,-0.02,0.01,0.99,-0.37,-0.43,-0.18
233327,-0.02,0.00,0.99,0.49,-1.10,0.85
233337,0.01,0.02,1.00,-1.10,0.00,0.49
233347,-0.04,0.02,1.02,-1.40,3.85,2.50
233357,0.58,-0.07,1.70,7.32,-48.10,39.98
233367,0.11,0.13,1.23,57.62,-63.35,13.85
233377,-0.10,0.37,1.35,93.69,-87.71,19.59
233387,-0.12,0.31,1.28,127.08,-76.72,50.84
233397,-0.15,0.10,1.33,145.51,-33.94,59.94
233407,-0.14,-0.02,1.28,139.28,-15.56,53.89
233417,-0.15,-0.06,1.15,110.41,-0.98,33.20
233427,-0.12,-0.08,1.09,82.95,4.09,21.00
233437,-0.09,-0.02,1.07,50.84,13.18,9.34
233447,-0.09,0.06,1.11,40.10,18.98,11.78
233457,-0.05,0.12,1.24,44.31,20.08,19.47
233467,-0.03,0.21,1.30,71.59,7.20,34.30
233477,-0.06,0.23,1.34,91.86,0.61,42.97
233487,-0.09,0.14,1.27,119.57,-7.39,56.27
233497,-0.06,0.06,1.22,131.71,0.49,60.18
233507,0.01,0.10,1.20,139.65,-4.52,60.91
233517,0.07,0.18,1.23,143.25,-7.08,61.71
233527,0.06,0.33,1.31,157.53,-22.03,58.35
233537,-0.10,0.38,1.23,172.18,-30.46,63.11
233547,0.01,0.48,1.75,195.80,-34.79,73.79
233557,-0.16,0.38,1.22,233.58,-64.15,86.61
233567,-0.06,0.36,1.12,254.76,-75.13,107.79
